HM_Temp_C,HM_C_pct,HM_Si_pct,HM_Mn_pct,HM_P_pct,HM_Weight_t,Scrap_Ratio,O2_Flow_Nm3min,Lance_Height_m,Lime_Add_kgpt,Blow_Time_min,Bath_Temp_End_C,Steel_C_End_pct,Steel_P_End_pct,Slag_Basicity,Slag_FeO_pct,Offgas_CO_pct,Offgas_CO2_pct,fault_id,fault_name
1315.8391290964357,4.35056164719338,0.5989167139332593,0.4268624232093837,0.09834438414943672,259.12846211514307,0.2136709068343387,843.0860448931877,1.8306759196349593,65.80315121387078,15.932032470124428,1569.943421784351,0.35,0.0928615883803684,2.2384458417062456,28.0,59.27962005516066,35.03248136923802,0,0-正常
1323.644854130029,4.26285467895056,0.5017564369703476,0.39794167228963767,0.1255442194410596,272.77499921748523,0.30685081577060724,951.6220285009086,1.9651662412387645,55.60842588296518,13.966499883766703,1560.0,0.35,0.11343050119174483,2.2303741011318454,28.0,50.16934560528772,43.721901505541034,0,0-正常
1306.6884918928135,4.35350482740653,0.7371469615650479,0.6081405847219735,0.08323125148932296,259.106537406635,0.20429842845585353,1150.0,1.345940912533326,54.32949168140339,18.518023251430737,1627.885767637517,0.35,0.06592197205708705,1.7728981871730631,28.0,65.63301769172878,34.06998987449929,0,0-正常
1321.4841016341977,4.239731978205645,0.3720609257079129,0.17561794822225102,0.08168705047431311,297.1276155451866,0.117020296999988,864.36612740066,1.9615400254768944,61.89311663777235,16.523253379370715,1570.3829941872414,0.35,0.07279524232901272,2.7202525043885646,28.0,54.91936343653321,43.4946740475193,0,0-正常
1323.440629507739,3.8,0.40864567499548005,0.29336036612783745,0.07349893226818069,275.3718363250964,0.11790466781932316,880.0807571914306,2.013290134866107,59.81791750303902,19.477543970467558,1566.3689960900824,0.35,0.06104028126167509,2.611843084266918,28.0,52.854388603176666,41.57624347761638,0,0-正常
1317.2385597614445,4.310525045562995,0.7088430830073693,0.6129612350124936,0.12449290240136904,251.6607784786759,0.14219794019885515,827.2418477413421,1.8021707491322054,65.74929197285175,20.177167288787263,1635.7103428950331,0.35,0.0917222703242749,2.1947422998991026,28.0,65.57040520749558,29.203064241492566,0,0-正常
1309.4507341625579,4.273783640558352,1.3472329648674688,0.588029642504944,0.0786605147093361,292.03946838773976,0.10115996155824092,973.9971988293895,1.7634825812406953,54.73744482994419,19.252465324892498,1725.0,0.35,0.06826763200894209,1.4,26.312709496253937,69.41865238283683,27.343225191982537,0,0-正常
1320.4146864842537,4.24899626557352,1.2863856566015923,0.31173331150884304,0.04420664991943529,263.4151444520323,0.2270232385876947,836.284562175163,1.2081687944155783,42.48675498928165,16.454401522469965,1567.0163669269136,0.35,0.040825233412794405,1.4,28.0,51.247894367622145,46.16042396805019,0,0-正常
1308.7787680709123,4.403257703926361,0.8554017180803771,0.7835697517320599,0.09929127504518641,241.0128193201619,0.07369769034580562,890.6054521207097,1.4346634442264379,61.09396800452985,20.60036752762703,1725.0,0.35,0.08181959028598712,1.842723322842848,27.288355276880804,67.81060499501804,28.996514451150492,0,0-正常
1354.1252694110465,4.142378241205925,0.3722174467972051,0.6295526219024171,0.09167725691051759,259.5154464031029,0.255815397439495,901.7441126192479,1.6873814954464312,30.0,17.875046830475895,1573.6751860760778,0.35,0.08938613614170991,1.8371211940442043,17.02768099095986,75.05331859566097,22.80405955218803,0,0-正常
